mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.24506394068400064,0.09405774038631766,0.06158963839213053,0.02167974355772723,0.1,,"{'classifier__C': 0.1, 'classifier__class_weight': None}",0.9996426988736284,0.9995452403332408,0.9995452349240456,0.9995777247103049,4.5943671541052133e-05,6
0.2662519613901774,0.048783263366271784,0.0444795290629069,0.0014520158553131596,0.1,balanced,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced'}",0.9997076681880747,0.9996102133028802,0.9995614785880821,0.9996264533596789,6.077638998886128e-05,5
0.3024632930755615,0.08763484772074202,0.0587927500406901,0.021342611891878433,1.0,,"{'classifier__C': 1.0, 'classifier__class_weight': None}",0.9997888783822377,0.9997888764076654,0.9997726302351833,0.9997834616750287,7.65898460722928e-06,4
0.22757784525553384,0.03229302017450127,0.05825448036193848,0.02101774625656663,1.0,balanced,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced'}",0.9997888783822377,0.9998051175953946,0.9997563929560069,0.9997834629778798,2.025697532760117e-05,3
0.2879370053609212,0.08360312438588523,0.0670016606648763,0.022095763846549793,10.0,,"{'classifier__C': 10.0, 'classifier__class_weight': None}",0.9998213603015156,0.9998051175953946,0.999772634488826,0.9997997041285788,2.0257186754156284e-05,2
0.224777619043986,0.02884902110550442,0.04256558418273926,0.0007912768426097648,10.0,balanced,"{'classifier__C': 10.0, 'classifier__class_weight': 'balanced'}",0.9998213603015156,0.9998213586311242,0.9997726366148831,0.999805118515841,2.29681724432398e-05,1
