feature_set,best_params,cv_best_score_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
all_features,"{""classifier__C"": 10.0, ""classifier__class_weight"": ""balanced""}",0.9998971470976644,0.9998939756992302,0.9999073215940686,0.9998761701916885,0.9998917339299769
features_without_targets,"{""classifier__C"": 10.0, ""classifier__class_weight"": ""balanced""}",0.9999079741141075,0.9999151805593842,0.9999258545265812,0.9999009361533508,0.9999133876836775
selected_features,"{""classifier__C"": 10.0, ""classifier__class_weight"": ""balanced""}",0.9998267732665588,0.9998091562586144,0.9998269509924013,0.9997833331891637,0.9998051186447434
selected_features_without_targets,"{""classifier__C"": 10.0, ""classifier__class_weight"": ""balanced""}",0.999805118515841,0.9998091562586144,0.9998332036028021,0.9997771063450394,0.9998051162147523
