mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
20.054124275843304,0.18587517440262696,0.7405478954315186,0.03996494625871612,,1,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.9999837606344617,0.9999675211172242,0.9999675204271424,0.9999729340596094,7.655544500239974e-06,1
57.19616850217184,0.04791294463111574,2.0521918137868247,0.10095047928649908,,1,300,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.9999837606344617,0.9999512814482604,0.9999675204271424,0.9999675208366215,1.3259572245502145e-05,2
16.871928532918293,0.2645641088702292,0.8334744771321615,0.12137756044642824,,5,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.9999675211172242,0.9999512814482604,0.9999187999296476,0.9999458674983774,2.025539713623889e-05,5
45.34369977315267,2.0599507582824654,2.0129396120707193,0.14159432148474374,,5,300,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 300}",0.9999675211172242,0.9999512814482604,0.9999025594601846,0.9999404540085565,2.7603493851819817e-05,7
11.100964546203613,0.5362642554573501,0.8042010466257731,0.2136651191327458,10,1,100,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.9999350416275428,0.9998538402466945,0.9999025594601846,0.9998971471114739,3.337050795576122e-05,11
29.416417996088665,0.4601485740910659,1.6573158105214436,0.050657434804907815,10,1,300,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.9999188016550443,0.9999188016550443,0.9999187999296476,0.9999188010799122,8.13359811322166e-10,9
10.375691016515097,0.8354915465565634,0.6519521872202555,0.02043166896918266,10,5,100,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.9999025615307375,0.9998375995148818,0.9998538371405188,0.999864666062046,2.7603925229237328e-05,12
27.957549571990967,0.4995376091523054,1.5293005307515461,0.19639150347001086,10,5,300,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 300}",0.9999188016550443,0.9999188016550443,0.9999025594601846,0.9999133875900911,7.656644084449868e-06,10
18.415873686472576,0.6518801986267214,0.9660052458445231,0.06211436945985278,20,1,100,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.9999837606344617,0.9999512814482604,0.9999675204271424,0.9999675208366215,1.3259572245502145e-05,2
54.27499508857727,0.4047673056241264,1.9073785940806072,0.0415110328901719,20,1,300,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.9999837606344617,0.9999512814482604,0.9999512804130992,0.999962107498607,1.53110792025714e-05,4
15.97472620010376,0.8673063466406622,0.9342709382375082,0.04510412587928376,20,5,100,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.9999350416275428,0.9999512814482604,0.9999025594601846,0.9999296275119959,2.0255740188581904e-05,8
34.88840262095133,3.3677648861018996,1.2064978281656902,0.5405407455840936,20,5,300,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 300}",0.9999675211172242,0.9999512814482604,0.9999187999296476,0.9999458674983774,2.025539713623889e-05,5
