mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.552448034286499,0.23129828521390822,0.5950657526652018,0.11593840689375752,,1,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.9998863212545952,0.9999188016550443,0.9999350402472768,0.9999133877189722,2.0254515378418717e-05,2
35.278533617655434,0.3635416869870724,1.4232569535573323,0.014302637629259969,,1,300,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.9998700820409834,0.9999188016550443,0.9999512804130992,0.9999133880363756,3.336939075343488e-05,1
6.738065799077352,0.28890513597938694,0.4532078107198079,0.09086997350067898,,5,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.9997239101362099,0.9998375995148818,0.9997888719203003,0.9997834605237973,4.6570957436211045e-05,7
18.69452969233195,0.41003944409195703,1.2922585010528564,0.11252121224402875,,5,300,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 300}",0.99987008082659,0.9999025615307375,0.9998700780656475,0.9998809068076584,1.531220157548424e-05,5
3.551702340443929,0.1406491550045779,0.48296070098876953,0.05738520113750055,10,1,100,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.9991879139447196,0.9986516393413918,0.9986029854847619,0.9988141795902911,0.000265015502944409,11
9.902517716089884,0.20185405156401287,1.0455985069274902,0.03790190245094215,10,1,300,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.9995127848728926,0.9988303983340103,0.9994152801221382,0.9992528211096804,0.00030133872984679575,9
3.0544090270996094,0.18787583162985916,0.4074157079060872,0.062391263112949145,10,5,100,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.9989928998517048,0.9986516520480556,0.998050438641694,0.9985649968471515,0.00038960674701257617,12
9.424747943878174,0.29665570946647435,1.102274497350057,0.14680484056732826,10,5,300,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 300}",0.9994152980401981,0.9985866447826268,0.9989441119690023,0.9989820182639425,0.00033935647011949896,10
7.847946882247925,0.09380682091379307,0.5981477896372477,0.045234499696168114,20,1,100,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.9998863212545952,0.9999025615307375,0.9999188006884987,0.9999025611579437,1.325967336895751e-05,4
22.05852731068929,0.4704091138816728,1.3737900257110596,0.09359928894938369,20,1,300,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.9998863212545952,0.9999025615307375,0.9999350402472768,0.9999079743442031,2.0254365359703445e-05,3
6.270548423131307,0.29014744610653037,0.5616841316223145,0.04952454770782647,20,5,100,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.9997401640819669,0.9997563958549986,0.9995777220997204,0.9996914273455619,8.067436525050479e-05,8
13.330273548762003,1.478088918170731,0.7873408794403076,0.3538280764001825,20,5,300,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 300}",0.9998375995148818,0.99987008082659,0.999821354834405,0.9998430117252924,2.025709085312898e-05,6
